PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 1. polrok 2016;;;;;;;;;
;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;
;;;;;;;;;
Spoločnosť poskytujúca plnenie;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
Merck Sharp & Dohme, s.r.o. ;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;;653 642,24;169 506,33;22 880,00;256 151,88;
KapitulPharm s.r.o.;Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský kraj;901,00;;;;;
Boehringer Ingelheim RCV GmbH & Co KG, o.z.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;626 172,59;474 550,80;249 698,73;55 558,60;212 530,90;168 504,35
SUBITO SK,s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
dewtech s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Desitin Pharma s.r.o;Bratislava - mestská časť Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;3 676,00;1 548,00;1 750,00;1 300,00;530,00;150,00
Hospira Slovakia, s. r. o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;;;6 140,00;;1 271,25;
Valeant Slovakia s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;295 856,90;10 294,74;102 272,00;35 100,00;35 033,11;
farmplus;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
Pharmacenter Slovakia s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;1 012,87;2 210,86;0,00;;143,14;
Anis s.r.o.;Stupava;Okres Malacky;Bratislavský kraj;239,04;;;;;
Eisai GesmbH, organizačná zložka;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;;9 944,74;7 141,40;;;
Swedish Orphan Biovitrum o.z.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;7 380,18;13 504,20;3 605,64;;3 350,13;
SUNLIGHT medical systems s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;1 306,97;;;;;
Lekáreň Centrum Stupava s.r.o.;Stupava;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
sever, s.r.o , verejná lekareň;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
Actelion Pharmaceuticals SK, s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;87 952,00;35 727,00;22 490,00;;29 561,64;
IQ-MED a.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Heaton SK s.r.o.;Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský kraj;8 348,45;0,00;;;8 337,45;
MK lekáreň, s.r.o;Malinovo;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
MOVO s.r.o.;Plavecké Podhradie;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
LTM PROLEK, sr.ro.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;5 000,00;0,00;;;;
Emperial s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Farmácia, n.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Gedeon Richter Slovakia,s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;316 001,00;94 896,00;71 645,00;34 560,00;37 473,85;111 466,09
Radiant s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Exeltis Slovakia s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;145 308,02;42 859,49;3 441,50;5 000,00;17 962,69;13 677,25
LEO Pharma s.r.o., organizačná zložka;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;34 670,00;;700,00;;3 375,60;12 070,00
Evopharm, s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;140,99;197 378,18;0,00;;1 182,57;
Bemedi s.r.o.;Bratislava - mestská časť Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
MGL Pharm;Bernolákovo;Okres Senec;Bratislavský kraj;;;;;;
Medicopharm s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
AUDIOCENTRUM SK, s.r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
Coralex s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
HARMÓNIA SLOVAKIA s.r.o.;Malacky;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
PREPHARE, s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Azet Pharma s.r.o;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Pharmacia s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
WIDEX - SLOVTON Slovakia s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;7 027,00;12 050,00;;
AbbVie s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;254 774,00;583 000,00;203 778,01;108 834,72;419 831,35;0,00
GlaxoSmithKline Consumer Healthcare Slovakia s. r. o.  ;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
muoj s. r. o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Alfa Wassermann Czech s.r.o., organizačná zložka Slovensko;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;27 640,00;40 045,42;;
EUFA, s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
G. L. Pharma Slovakia, s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;71 000,00;28 875,00;;
BENU SK 45, s.r.o. ;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;3 752,22;;;
BENU SK 46, s.r.o. ;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;3 804,00;;;
BENU SK 47, s.r.o. ;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;2 432,66;;;
BENU SK 51, s.r.o. ;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;1 916,40;;;
BENU SK 50, s.r.o. ;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;3 061,80;;;
BENU SK 49, s.r.o. ;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;87,00;;;
BENU SK 48, s.r.o. ;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;2 248,28;;;
FERRING Slovakia s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;89 019,34;12 274,70;117 306,93;;52 808,45;
EuroPharm Slovakia s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Placebo, s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Orion Pharma;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;34 090,20;0,00;8 040,00;1 620,00;6 049,84;1 325,65
AstraMedica s.r.o.;Bratislava - mestská časť Dúbravka;Okres Bratislava IV;Bratislavský kraj;138,60;0,00;;;;
DCX spol. s r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
EFLEK;Bratislava - mestská časť Dúbravka;Okres Bratislava IV;Bratislavský kraj;4 370,28;0,00;;;;
Sanomed, s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;2 016,70;180 123,50;;;;
medac Gesellschaft für klinische Spezialpräparate m.b.H., organizačná zložka Slovensko;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;700,00;0,00;;17 961,48;1 515,00;7 585,00
Lekáreň Tesco Trenčín, s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
ALTHAEA;Budmerice;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Tesco Prešov, k.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
BENU SK 18, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;520,68;;;
BENU SK 40, s.r.o. ;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;5 458,40;;;
BENU SK 38, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;1 500,00;;;
BENU SK 7, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;758,40;;;
BENU SK 42, s.r.o. ;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;1 086,00;;;
BENU SK 24, s.r.o. ;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;5 209,00;;;
BENU SK 37, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;6 103,20;;;
BENU SK 32, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;2 869,90;;;
BENU SK 41, s.r.o. ;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;4 828,00;;;
BENU SK 44, s.r.o. ;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;16 122,00;0,00;1 781,06;;;
BENU SK 3, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;995,71;;;
BENU SK 16, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
BENU SK 29, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;2 552,46;;;
BENU SK 43, s.r.o. ;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;6 574,76;;;
BENU SK 15, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;1 163,60;;;
BENU SK 12, s.r.o. ;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;7 440,37;;;
BENU SK 28, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;1 554,27;;;
Lekáreň Tesco Dunajská Streda, k.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
BENU SK 31, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;8 941,69;;;
BENU SK 4, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;1 837,70;;;
BENU SK 25, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
BENU SK 19, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;2 112,71;;;
BENU SK 14, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Aspen Europe GmbH, organizačná zložka;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;46 836,93;3 600,00;;;44 833,95;
BENU SK 17, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;465,00;;;
BENU SK 34, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;2 364,03;;;
BENU SK 52, k.s. ;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;9 146,98;;;
BENU SK 6, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;7 459,91;;;
BENU SK 39, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;3 021,36;;;
BENU SK 13, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;2 552,29;;;
BENU SK 35, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;500,00;;;
BENU SK 10, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;4 992,61;;;
BENU SK 22, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;3 143,72;;;
BENU SK 20, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;559,80;;;
BENU SK 9, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;2 198,26;;;
BENU SK 30, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;4 999,65;;;
BENU SK 33, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;3 536,49;;;
ProPhqarma Group s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;31 169,00;;;;;
BENU SK 11, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;1 101,94;;;
BENU SK 21, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;4 521,74;;;
S&D Pharma CZ spol. spol. s r.o. - organizačná zložka SR;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;4 674,75;3 081,90;1 250,00;12 740,00;178,00;
OrtoFit s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Tesco Petržalka, k.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Tesco Senec, k.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
TOMAX SLOVAKIA s.r.o.;Malacky;Okres Malacky;Bratislavský kraj;600,00;0,00;;;;
Lekáreň Tesco Piešťany, k.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Lumater;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;;;;;;
BSC Logistics s. r. o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Tesco Zlaté Piesky, k.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Cipla Europe NV, organizačná zložka Slovensko;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;84 408,00;43 938,00;3 615,00;11 195,00;;
Lekáreň Tesco Lamač, k.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Gilead Sciences Slovakia s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;66 582,54;5 190,00;;25 390,23;
Lekáreň Tesco Nitra, k.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Tesco Zvolen, k.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
ALK Slovakia, s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;101 668,22;12 489,62;34 895,60;;26 819,34;
Lekáreň Tesco Banská Bystrica,k.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
BENU SK, a.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;30 874,87;0,00;;;;
BGP Products s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;29 935,70;28 877,88;70 104,40;3 650,00;95 351,75;0,00
Lekáreň Tesco Košice, k.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Tesco Spišská Nová Ves,k.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
BENU SK 53, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;142,00;;;
BIODRUG s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
K&K Pharmacy I., s.r.o.;Bratislava - mestská časť Devínska Nová Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Angelini Pharma Slovenská republika s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;130 156,00;456 333,00;58 120,00;39 086,00;30 319,71;17 647,05
Apotheke02 s.r.o.;Senec;Okres Senec;Bratislavský kraj;459,00;0,00;;;;
Apotheke01 s.r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
Xantis Pharma s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;1 994,00;0,00;;;;
Lekáreň Íris;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;240,00;;;;;
Nocebo, s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Baxalta Slovakia s.r.o.;Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský kraj;49 685,97;8 520,00;9 689,00;1 810,00;9 697,05;1 929,60
VULM s.r.o.;Bratislava - mestská časť Vajnory;Okres Bratislava III;Bratislavský kraj;432,00;0,00;;;;
Allergan Slovakia s.r.o;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;16 235,09;7 644,84;800,00;;14 864,81;
Shire Slovakia s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;1 165,20;926,00;500,00;;2 284,75;
Univerzitná lekáreň UVLF v Košiciach;Košice - mestská časť Sever;Okres Košice I;Košický kraj;0,00;0,00;;;;
Mgr.Slúková Viera, Lekáreň VERBENA;Spišská Nová Ves;Okres Spišská Nová Ves;Košický kraj;0,00;0,00;;;;
MARCOM, spol. s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;1 488,00;;;1 488,00;;
Lekaren Alma;Pavlovce nad Uhom;Okres Michalovce;Košický kraj;0,00;0,00;;;;
PHARMAVIT spol. s r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;332,76;;;;;
MEDICENTRUM, spol. s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
FERUMI spol. s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;3 371,15;;;3 371,15;;
Lekáreň NA MIKLOVKÁCH, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;9,59;;;;;
Lekáreň SIMBA, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;146,40;;;;;
SUISSE PHARMACIA, spol. s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;3,60;;;;;
PHARMEDIA s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;588,49;;;;;
PHARMSTORE, spol. s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;83,70;;;;;
ORTOPROplus, spol. s r.o.;Košice - mestská časť Juh;Okres Košice IV;Košický kraj;753 420,00;0,00;;;;319,00
EMA, spol. s r.o., Košice;Košice - mestská časť Sídlisko KVP;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň L. PASTEURA s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;13,20;;;;;
Lekáreň Na Tarči;Spišská Nová Ves;Okres Spišská Nová Ves;Košický kraj;0,00;0,00;;;;
lekaren KIM Roznava;Rožňava;Okres Rožňava;Košický kraj;0,00;0,00;;;;
ASTEN spol. s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;3 903,60;;;3 900,00;;
Lekáreň ALBA;Sobrance;Okres Sobrance;Košický kraj;0,00;0,00;;;;
Lekáreň Templum RNDr.Alena Valjanová;Spišská Nová Ves;Okres Spišská Nová Ves;Košický kraj;0,00;0,00;;;;
DRUG PHARMA, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;18,00;;;;;
Lekáreň Vysoká pri Morave s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;3,60;;;;;
Lekáreň MAX TT, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;9,59;;;;;
EUROPHARMA, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;99,30;;;;;
Lekáreň HEYDUKOVA,s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;2 191,20;;;1 521,60;;
Lekáreň ŠUSTEKOVA, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;882,00;;;864,00;;
MIRAKL PHARMA, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;191,40;;;;;
Lekáreň TEHELNÁ, s. r. o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;8,40;;;;;
Lekáreň AMETYST, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;3,60;;;;;
TRNÁVKA, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň OPTIMA KE, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň PRED NEMOCNICOU MT, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;1 347,60;;;1 320,00;;
Lekáreň POPRAD s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;8 895,60;;;8 882,40;;
EURO FARMÁCIA s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;1 200,00;;;1 200,00;;
Lekáreň CENTRUM GA, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;300,17;;;;;
Lekáreň CENTRO, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;10,80;;;;;
Lekáreň HORNÁD, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;1 129,20;;;1 080,00;;
Lekáreň KROMPACHY, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;3,60;;;;;
Medirea s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;31,80;;;;;
smile, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;;;;;;
Sanimed s.r.o.;Spišská Nová Ves;Okres Spišská Nová Ves;Košický kraj;0,00;0,00;;;;
Evison s.r.o.;Ruskov;Okres Košice - okolie;Košický kraj;0,00;0,00;;;;
PPK, s.r.o.;Turňa nad Bodvou;Okres Košice - okolie;Košický kraj;0,00;0,00;;;;
Novozit s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;3,60;;;;;
Lekáreň DANUBIA s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;9,60;;;;;
DRUGCOMFORT s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň Zora;Košice - mestská časť Západ;Okres Košice II;Košický kraj;;;;;;
PHARMAX LH;Veľké Kapušany;Okres Michalovce;Košický kraj;0,00;0,00;;;;
Lekáreň Ficaria, s.r.o.;Kráľovský Chlmec;Okres Trebišov;Košický kraj;0,00;0,00;;;;
CASSIA s.r.o.;Košice - mestská časť Sídlisko KVP;Okres Košice II;Košický kraj;0,00;0,00;;;;
PHARMAKRAFT s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;3,60;;;;;
BRL Slovakia s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
PHARMAFIT s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;3,60;;;;;
MEDIC TRADE s.r.o.;Košice - mestská časť Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
MEDISELL s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
MEDICOMFORT s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
ECIŠOK;Košice - mestská časť Sídlisko KVP;Okres Košice II;Košický kraj;0,00;0,00;;;;
DRUGPLANT s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;145,50;;;;;
STARLINE s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
REDMOON s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;3,60;;;;;
PHARMASHOP s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;19,80;;;;;
CASTILION s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;31,91;;;;;
Pharm service s.r.o.;Košice - mestská časť Dargovských hrdinov;Okres Košice III;Košický kraj;0,00;0,00;;;;
Prameň Zdrav spol. s r.o.;Valaliky;Okres Košice - okolie;Košický kraj;0,00;0,00;;;;
Lekáreň BS, s r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;3,60;;;;;
Lekáreň V KAUFLANDE BB, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;101,23;;;;;
Lekáreň NOVA ZA, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;127,80;;;;;
MEDIPHARM, s.r.o.;Michalovce;Okres Michalovce;Košický kraj;0,00;0,00;;;;
ADONAI s.r.o.;Košice - mestská časť Sever;Okres Košice I;Košický kraj;0,00;0,00;;;;
Lekáreň SNINA, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;13,20;;;;;
Lekáreň NZ, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;507,00;;;488,40;;
ŠacaPharm s.r.o.;Košice - mestská časť Šaca;Okres Košice II;Košický kraj;0,00;0,00;;;;
Železničná lekáreň s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;50,40;;;;;382,80
FORTUNAPHARM s.r.o.;Michalovce;Okres Michalovce;Košický kraj;0,00;0,00;;;;
Cassoviapharm s r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;5 294,00;0,00;;;;
LEKÁREŇ - NÁRODNÁ ŽILINA, s.r.o.;Košice - mestská časť Západ;Okres Košice II;Košický kraj;112,20;;;;;
