PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 2. polrok 2016;;;;;;;;;
;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;
;;;;;;;;;
Spoločnosť poskytujúca plnenie;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
Audioprotetika Dunaj, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;6 666,82;2 285,20;;
SANDOZ d.d. - organizačná zložka;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;417 405,58;612 205,12;400 600,00;221 241,00;180 570,61;
AOP Orphan Pharmaceuticals AG, organizačná zložka;Bratislava - mestská časť Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;3 300,00;0,00;109 825,15;12 880,00;7 380,09;
PHARMACOM, spol. s r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;6 540,00;43 162,63;;;;
PK Pezinok s.r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
Stallergenes CZ s.r.o., organizačná zložka;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;33 280,39;6 379,50;15 120,00;7 150,00;2 438,97;2 544,23
Allergy Therapeutics (UK) Limited, organizačná zložka;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;2 511,00;0,00;;;;
SOFIDA s.r.o.;Tomášov;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
Vitabalans SK s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;33 071,80;22 780,80;;864,00;;
IDMC s.r.o;Bratislava - mestská časť Lamač;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Biogen Slovakia s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;10 800,00;35 768,96;48 731,53;3 553,63;14 035,41;
Severín s.r.o.;Malacky;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
Lekáreň pri nemocnici - Čadca, s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Lekáreň TERNO, s,r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Krásno, s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
ARIES SLOVAKIA, s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
DUVEL, s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
BENU SK 26, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;1 070,25;;;
BENU SK 36, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;1 741,67;;;
PROSALUTE s.r.o.;Modra;Okres Pezinok;Bratislavský kraj;610,80;;;;;
ADPE, s.r.o.;Bratislava - mestská časť Devín;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Ixtra II, s.r.o.;Bratislava - mestská časť Devín;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
HEKAS, s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
Novartis Slovakia s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;74 532,25;1 166 985,33;450 433,79;118 940,22;120 219,19;30 066,96
Pharma CBC II;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Novonordisk;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;;;50 740,00;136 257,43;14 826,15;
Pharmatop s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;7 800,00;0,00;;;;
Lekim sro;Závod;Okres Malacky;Bratislavský kraj;;;;;;240,00
Otto Bock Slovakia s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;6 649,61;0,00;1 000,00;300,00;;
Lekáreň MARTIN, s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Movianto slovensko s.r.o;Senec;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
Rastislav Edelstein;Bratislava - mestská časť Lamač;Okres Bratislava IV;Bratislavský kraj;;;;;;
S&D Pharma SK s.r.o;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;79 572,86;;1 900,00;17 305,02;;
Krka Slovensko s.r.o. ;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;431 223,00;252 121,62;561 170,00;61 850,00;60 324,62;
Celgene s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;79 289,04;232 459,41;104 679,62;30 981,75;73 028,88;582,50
STADA PHARMA Slovakia, s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;991 679,37;498 171,31;367 765,39;330 568,00;11 960,10;6 990,30
Sunlight Pharmacy 01 s.r.o.;Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský kraj;959,52;0,00;;;;
Medic International;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Panmed.SK s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
MoyMedica s.r.o;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
LT,s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
GREEN-DROP s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
4 LIFE PHARMA SK, s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;4 650,00;23 000,00;;;;
Vipharm Slovakia s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;114 385,96;0,00;132 678,00;19 291,00;;
Pharm-In, spol. s r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;;;7 000,00;200,00;;
Lekáreň POLIKLINIKA BYTČA s.r.o;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Bratislavaensis optik, s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;78 000,00;0,00;;;;
Merck Sharp & Dohme, s.r.o. ;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;;1 387 685,94;325 304,61;19 360,00;72 754,53;
Feroka s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
KapitulPharm s.r.o;Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Boehringer Ingelheim RCV GmbH & Co KG, o.z.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;955 298,80;1 212 090,79;288 153,92;26 457,60;114 318,57;
EVAPHARM plus s.r.o.;Senec;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
dewtech s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Desitin Pharma s.r.o.;Bratislava - mestská časť Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;2 760,00;4 160,00;3 200,00;;746,30;
Hospira Slovakia, s. r. o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;;;;;;
Valeant Slovakia s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;1 346 336,00;89 808,00;171 880,00;43 780,00;24 655,48;
PHARMATOP III,s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;60 000,00;0,00;;;;
FARMEDIX;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;;;;7 680,00;;
Optik-pharma a.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;54 000,00;1 181,89;;;;
Pharmacenter Slovakia s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;3 095,77;2 112,00;;;;
Anis s.r.o.;Stupava;Okres Malacky;Bratislavský kraj;411,84;;;;;
Eisai GesmbH, organizačná zložka;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;;7 146,74;10 299,35;;;
Swedish Orphan Biovitrum o.z.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;30 730,00;865,80;;;2 967,51;
Sunlight medical systems;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;1 153,74;0,00;;;434,86;
Lekáreň Centrum Stupava s.r.o.;Bratislava - mestská časť Záhorská Bystrica;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
lekaren SEVER;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
Actelion Pharmaceuticals SK, s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;55 911,69;29 527,82;21 750,00;;12 701,18;
IQ-MED a.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
HEATON SK, s.r.o.;Bratislava - mestská časť Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;8 497,04;;;;7 489,32;1 007,72
LUMATEC,s.r.o.;Bratislava - mestská časť Záhorská Bystrica;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
MK lekáreň;Malinovo;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
MOVO s.r.o.;Plavecké Podhradie;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
TRINITAS s.r.o.;Dubová;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
LTM Prolek;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;600,00;;;;;
BENU SK 5, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;1 025,17;;;
Emperial s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Agepha Pharma s.r.o.;Senec;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
Farmácia, n.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PharmSun s.r.o;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;1 779,00;0,00;;;;
Gedeon Richter Slovakia, s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;567 178,00;323 040,00;179 727,50;71 947,50;56 228,83;64 454,89
Lekáreň Plus s.r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
Exeltis Slovakia s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;226 294,00;44 046,00;;;27 386,67;8 816,33
LEO Pharma s.r.o., organizačná zložka;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;112 000,00;;1 325,00;250,00;77,00;41 413,90
Amgen Slovakia s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;403 243,00;245 923,59;127 055,00;2 680,00;136 575,09;
Ma-ma Pharm,sro;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
EVOPHARM s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;722,17;263 328,39;;;;
Bemedi s.r.o.;Bratislava - mestská časť Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;268,00;;;;;
Lekáreň Vajnory, s.r.o.;Bratislava - mestská časť Vajnory;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
MGL Pharm s.r.o.;Bernolákovo;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
Valebona a.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;63 600,00;6 495,96;;;;
Medicopharm s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Bracco Imaging Slovakia s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;;31 393,54;;;36 476,50;6 590,00
TOPTOM, s.r.o.;Reca;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
MOnPharm, s.r.o.;Chorvátsky Grob;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
AUDIOCENTRUM SK, s.r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
Coralex s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
DS Pharm s.r.o.;Tomášov;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
HARMÓNIA Slovakia s. r. o.;Malacky;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
SiloePharm IV, s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;6 856,98;61 872,00;;;;
Lekáreň Na Saratovskej s.r.o.;Bratislava - mestská časť Dúbravka;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Ephedra, s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;248,80;;;;;
Azet Pharma s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Pharmacia s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
MINELA s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
WIDEX - SLOVTON Slovakia s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;;;18 434,00;27 260,00;;
AbbVie s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;263 053,00;585 389,20;177 464,38;137 544,62;397 988,24;0,00
GlaxoSmithKline Consumer Healthcare Slovakia s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;1 468 000,00;294 000,00;359,00;5 980,00;;
muoj s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;100,00;0,00;;;;
ALFA WASSERMANN CZECH s.r.o., organizačná zložka Slovensko;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;583 686,17;14 917,00;;;53 504,17;
G. L. Pharma Slovakia, s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;;;83 669,70;24 500,00;;
ixcon s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
BENU SK 45, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;4 258,88;;;
BENU SK 46, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;1 893,00;;;
Ing. Karel Jančík - SLÚCHADLÁ OTICON, s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
BENU SK 47, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;5 403,80;;;
BENU SK 51, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;8 353,77;;;
BENU SK 50, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;4 498,16;;;
BENU SK 49, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;66,50;;;
BENU SK 48, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;2 972,33;;;
FERRING Slovakia s. r. o. ;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;70 128,21;21 725,27;185 500,08;;54 828,64;
Placebo s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;;;;;;
Orion Pharma, s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;3 116,76;10 333,80;15 580,00;6 260,00;913,00;162,53
RX shop;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;2 132,96;0,00;;;;
AstraMedica s.r.o;Bratislava - mestská časť Dúbravka;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
DCX spol. s r. o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;300,00;;;;;
LEKÁREŇ-Patria spol.s r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
EFLEK s.r.o.;Bratislava - mestská časť Dúbravka;Okres Bratislava IV;Bratislavský kraj;5 461,40;0,00;;;;
medac Gesellschaft für klinische Spezialpräparate m.b.H., organizačná zložka Slovensko;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;1 300,00;0,00;2 774,28;19 550,00;;
PharmaVital, s.r.o.;Bratislava - mestská časť Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
Circello s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Red Angel s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Tesco Trenčín, s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;119,52;0,00;;119,52;;
Lekáreň Tesco Prešov Vukov, k. s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;119,52;;;119,52;;
Orpha SK, s.r.o.;Bratislava - mestská časť Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;7 000,00;1 000,00;1 300,00;;370,00;
BENU SK 18, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;1 815,45;;;
BENU SK 40, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;7 779,45;;;
BENU SK 38, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;1 857,05;;;
BENU SK 7, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;1 073,06;;;
BENU SK 42, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;3 178,34;;;
BENU SK 37, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;8 698,80;;;
BENU SK 32, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;3 759,45;;;
BENU SK 41, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;2 926,35;;;
BENU SK 44, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;29 005,75;;1 902,40;;;
BENU SK 3, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;2 088,97;;;
BENU SK 16, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;80,00;;;
BENU SK 29, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;3 162,88;;;
BENU SK 43, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;5 661,96;;;
BENU SK 15, s.r.o;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;2 303,99;;;
BENU SK 12, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;6 924,56;;;
BENU SK 28, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;6 423,27;;;
Lekáreň Tesco Dunajská Streda, k. s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;119,52;;;119,52;;
BENU SK 31, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;6 121,87;;;
BENU SK 4, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;2 749,40;;;
BENU SK 25, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;;;;
BENU SK 19, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;5 424,59;;;
BENU SK 14, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;516,12;;;
Aspen Europe GmbH;Bratislava - mestská časť Karlova Ves;Okres Bratislava IV;Bratislavský kraj;81 360,60;16 226,03;;500,00;32 943,83;
BENU SK 17, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;828,30;;;
BENU SK 34, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;8 057,15;;;
BENU SK 52, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;7 019,26;;;
BENU SK 6, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;4 800,91;;;
BENU SK 39, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;2 231,92;;;
BENU SK 13, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;3 164,28;;;
BENU SK 35, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;;;;
BENU SK 10, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;3 541,94;;;
BENU SK 22, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;1 405,40;;;
BENU SK 20, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;916,99;;;
BENU SK 9, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;5 091,38;;;
BENU SK 30, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;6 995,41;;;
BENU SK 33, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;4 644,57;;;
ProPharma Group s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
BENU SK 11, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;4 312,67;;;
BENU SK 21, k.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;6 094,30;;;
PHARMCONSULT, s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;600,00;917,00;;;;
PATRICIUS s.r.o.;Ivanka pri Dunaji;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
S&D Pharma CZ spol.s r.o. - organizačná zložka SR;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;201,20;0,00;;162,00;;
Z&T Pharma s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;1 522,80;;;;
COMPOSTELA s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Tesco Petržalka, k. s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;119,52;;;119,52;;
Lekáreň Tesco Senec, k.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;119,52;;;119,52;;
Lekáreň Tesco Piešťany, k.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;119,52;;;119,52;;
Lumater s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;;;;;;
Lekáreň Tesco Zlaté Piesky, k. s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;119,52;;;119,52;;
Lekáreň Tesco Lamač, k. s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;119,52;;;119,52;;
Gilead Sciences Slovakia s.r.o. - farmaceutická spoločnosť;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;60 802,79;10 416,80;;29 667,02;166,00
Gilead Sciences Slovakia s.r.o. - držiteľ povolenia na veľkodistribúciu liekov;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;0,00;;0,00;
Lekáreň Tesco Nitra, k. s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;119,52;;;119,52;;
Lekáreň Tesco Zvolen, k. s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;119,52;;;119,52;;
ALK Slovakia, s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;50 447,91;4 628,76;38 476,35;400,00;6 862,28;
Lekáreň Tesco Banská Bystrica, k. s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;119,52;;;119,52;;
BENU SK, a.s.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;111 379,24;;;;;
BGP Products s.r.o.;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;76 524,05;3 120,00;77 313,90;789,60;76 255,39;
Lekáreň Tesco Košice, k. s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;119,52;;;119,52;;
Lekáreň Tesco Spišská Nová Ves, k.s.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;119,52;;;119,52;;
BENU SK 53, s.r.o.;Bratislava - mestská časť Rača;Okres Bratislava III;Bratislavský kraj;;;641,87;;;
BIODRUG s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;;;;;;
K&K Pharmacy I. s.r.o.;Bratislava - mestská časť Devínska Nová Ves;Okres Bratislava IV;Bratislavský kraj;0,00;1 254,00;;;;
Angelini Pharma Slovenská republika s.r.o.;Bratislava - mestská časť Nové Mesto;Okres Bratislava III;Bratislavský kraj;284 960,94;549 553,56;93 000,00;87 025,55;116 938,89;8 069,10
K&K Pharmacy IV. s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;1 176,32;804,00;;;;
K& K Pharmacy III. s.r.o.;Bratislava - mestská časť Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;16,91;1 329,01;;;;
Apotheke02 s.r.o;Senec;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
Apotheke01 s.r.o;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
Xantis Pharma s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;8 032,16;0,00;;;;
K&K PHARMACY VII., s.r.o.;Bratislava - mestská časť Staré Mesto;Okres Bratislava I;Bratislavský kraj;2 287,16;1 571,52;;;;
Lekáreň Íris;Bratislava - mestská časť Ružinov;Okres Bratislava II;Bratislavský kraj;380,00;;;;;
LARMIA s.r.o.;Tomášov;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
