PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 2. polrok 2018;;;;;;;;;
;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;
;;;;;;;;;
Spoločnosť poskytujúca plnenie;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
Vitabalans SK s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;33 714,12;0,00;;5 317,60;;
IDMC s.r.o;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
Biogen Slovakia s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;65 375,20;22 616,95;153 025,99;241 450,12;24 446,23;
Lekáreň TERNO, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Krásno, s. r. o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
ARIES SLOVAKIA,s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
ZaPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Duvel s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
BENU SK 26, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;150,00;;3 031,37;;;
BENU SK 36, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;1 150,55;;;
BanPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;3 186,78;0,00;;;;
PharmExpo s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PharmReal s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
MML Topoľčany s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PharmacyMax s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Sovanis s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;370,00;0,00;;;;
ŠacaPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Novartis Slovakia s.r.o. ;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;533 163,78;825 686,82;688 318,42;1 209 073,08;102 648,69;
Pharma CBC II;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Farmal s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Novo Nordisk Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;;;63 820,00;88 167,51;110 850,18;
PHARMATOP,s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Otto Bock Slovakia s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;5 899,22;;;600,00;;
Axonia Pharma s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
APELLA s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
AntolMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;875,00;0,00;;;;
SladMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
DarMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Lekáreň MARTIN, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Movianto Slovensko s.r.o;Senec;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
S&D Pharma SK s.r.o;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;110 952,60;;7 830,00;3 499,20;;
DOROPHARM, k.s.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Pharmacum Trnava s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;671,22;0,00;;;;
Top Medical s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
KRKA Slovensko s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;1 044 481,00;137 551,00;287 140,05;24 200,00;100 369,73;
Celgene s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;83 137,94;262 949,71;59 895,50;1 000,00;88 333,40;6 459,58
STADA PHARMA Slovakia s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;1 228 254,00;355 486,00;556 677,00;114 532,00;28 568,04;36 699,06
ŽelMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;1 950,00;0,00;;;;
TatraPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
sunlight pharmacy 01;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Medic International;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
MoyMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;750,00;0,00;;;;
KrasMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;10 300,00;0,00;;;;
LT , s. r. o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
4 LIFE PHARMA SK, s.r.o. - hlásenie za spol. Vifor;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;5 250,00;2 300,00;;;;
4 LIFE PHARMA SK, s.r.o. - hlásenie za spol. Kreussler Chemische Fabrik;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;520,00;;;;;
4 LIFE PHARMA SK, s.r.o. - hlásenie za spol. Alvogen;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;850,00;;;;;
Vipharm Slovakia s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;79 625,00;;78 529,50;32 003,50;;
MYLAN s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;221 697,10;5 680,00;47 622,07;
PHARMCROSS s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PdPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;1 564,50;0,00;;;;
Pharm-In, spol. s r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;;;18 401,87;3 600,00;;
Lekáreň POLIKLINIKA BYTČA s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
ŠpitalPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Merck Sharp & Dohme, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;;1 074 221,83;111 690,00;8 504,00;57 095,04;10 785,45
LEKÁREŇ V KRUHU s.r.o.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Feroka s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
KapitulPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
BaníkMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Lekáreň ASTRA, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Boehringer Ingelheim RCV GmbH & Co KG, o.z.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;298 881,59;231 983,37;331 201,72;26 315,00;228 618,63;554,30
EVAPHARM  plus s.r.o;Senec;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
dewtech s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Desitin Pharma s.r.o.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;11 036,64;2 698,98;1 000,00;1 000,00;1 326,42;636,00
Valeant Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;311 712,00;162 442,00;17 159,85;30 826,65;15 459,74;
PHARMATOP III,s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
FARMEDIX;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Optikpharma;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Pharmacenter Slovakia s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;500,00;;;;
Orphanmed;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Anis s.r.o.;Stupava;Okres Malacky;Bratislavský kraj;239,04;;;;;
ALESTEPHARM s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Eisai GesmbH, organizačná zložka;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;;8 989,39;15 068,99;;;
Swedish Orphan Biovitrum o.z.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;4 467,33;10 309,30;4 669,14;;9 029,62;
SUNLIGHT medical systems, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;1 153,08;;;;248,00;
Lekáreň Centrum Stupava s.r.o.;Bratislava - Záhorská Bystrica;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
CUBICON, s.r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Actelion Pharmaceuticals SK, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;85 530,00;32 174,00;16 250,00;;18 414,37;
STEELKOR, s. r. o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
IQ-MED a.s.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Lekaren Slimak s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;;;;;;
HEATON SK, s.r.o.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;10 484,21;;;;10 484,21;
LUMATEC,s.r.o.;Bratislava - Záhorská Bystrica;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
MOVO s.r.o;Plavecké Podhradie;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
TRINITAS s.r.o.;Dubová;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
BENU SK 5, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;300,00;;3 312,42;;;
TatraMedical s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Lekáreň u sv. Martina,s.r.o.;Senec;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
Agepha Pharma s.r.o.;Senec;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
Farmácia, n.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Gedeon Richter Slovakia, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;318 820,77;235 104,35;165 375,00;70 314,00;66 257,60;44 338,85
Exeltis Slovakia s. r. o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;218 737,78;32 850,00;;;13 079,56;44 032,03
LEO Pharma s.r.o., organizačná zložka;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;1 130,00;;;;;
Amgen Slovakia s.r.o;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;110 488,18;240 780,14;92 624,98;7 717,00;70 341,59;
Ma-Ma Pharm,s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
EVOPHARM s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;;256 272,71;;;;
Bemedi s.r.o.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;155,51;;;;;
Lekáreň Vajnory s.r.o.;Bratislava - Vajnory;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
MGL Pharm s.r.o.;Bernolákovo;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
Medicopharm s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Bracco Imaging Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;;30 218,90;25 200,24;891,00;1 676,92;
TOPTOM, s.r.o.;Reca;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
MOnPharm s.r.o.;Chorvátsky Grob;Okres Senec;Bratislavský kraj;2 560,00;;;;;
Coralex s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
DS Pharm s.r.o.;Tomášov;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
Medichronos s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Pharmacum BN s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
ETHON Medical s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Pharmacia s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;;;;;;
WIDEX - SLOVTON Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;;;22 170,00;29 818,00;3 300,00;2 750,00
AbbVie s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;196 470,00;655 098,32;256 831,78;161 412,27;449 116,82;0,00
SPV96;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
FitMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
LekMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
ZdravMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PharmMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
SlovMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
GlaxoSmithKline Consumer Healthcare Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;2 471 554,44;1 367 277,58;800,00;71 758,21;;
muoj s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;275,57;0,00;;;;
ALFASIGMA CZECH s.r.o. organizačná zložka Slovensko;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;141 272,32;44 361,14;24 960,00;11 080,00;69 192,32;
G. L. Pharma Slovakia, s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;15 500,00;;79 650,00;20 950,00;;
ixcon s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
BENU SK 45, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;2 860,59;;;
BENU SK 46, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;3 192,89;;;
Ing. Karel Jančík - SLÚCHADLA OTICON, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
BENU SK 47, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;210,00;;597,33;;;
BENU SK 51, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;8 840,31;;;
BENU SK 50, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 698,15;;;
BENU SK 48, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;34,80;;3 476,25;;;
FERRING Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;37 993,09;19 407,53;47 601,95;800,00;94 635,51;
SEVERLEK , s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Placebo s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
AstraMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
EuroMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
EkoMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
OptiMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
DiaMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
CamilMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Apotéka na námestí s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
JasMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
DCX spol. s r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
LEKÁREŇ-Patria, spol. s r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
LK1 s.r.o;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
EFLEK;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;7 368,00;;;;;
medac Gesellschaft für klinische Spezialpräparate m.b.H., organizačná zložka Slovensko;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;600,00;0,00;2 430,00;5 963,00;;
PharmaVital, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
PWG;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
RAKLIM, a.s.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;1 489 038,00;0,00;;;;
BENU SK 18, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;1 124,26;;;
BENU SK 40, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;12,00;;2 015,06;;;
BENU SK 38, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;12,00;;2 545,52;;;
BENU SK 7, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;150,00;;2 549,90;;;
BENU SK 42, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;126,00;;1 624,47;;;
BENU SK 24, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;125,40;;2 660,77;;;
BENU SK 37, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;224,81;;;
BENU SK 32, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;36,60;;1 362,31;;;
BENU SK 41, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;864,00;;396,00;;;
BENU SK 3, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;627,32;;;
BENU SK 16, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;;;;
BENU SK 29, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;2 131,90;;;
BENU SK 43, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;3 017,11;;;
BENU SK 15, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;656,56;;;
BENU SK 12, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;1 807,33;;;
BENU SK 1, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;150,00;;;;;
BENU SK 28, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;156,00;;4 134,01;;;
BENU SK 31, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;12,00;;3 836,32;;;
BENU SK 4, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;24,00;;;;;
BENU SK 25, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;486,00;;;;;
BENU SK 19, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 605,61;;;
BENU SK 14, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;372,00;;;;;
Aspen Pharma Ireland Limited, organizačná zložka;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;56 828,00;3 500,00;;;24 388,01;
BENU SK 17, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;90,00;;5 448,07;;;
BENU SK 34, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;750,00;;1 706,34;;;
BENU SK 52, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;6 737,56;;;
BENU SK 6, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;30,00;;1 053,56;;;
BENU SK 39, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;100,00;;3 029,90;;;
BENU SK 13, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;30,00;;2 905,10;;;
BENU SK 10, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;13 280,90;;;
BENU SK 22, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;436,20;;;
BENU SK 20, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;30,00;;839,59;;;
BENU SK 9, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;12,00;;106,64;;;
BENU SK 30, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;1 269,00;;;
BENU SK 33, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;36,00;;2 674,18;;;
BENU SK 11, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;36,00;;4 852,82;;;
BENU SK 21, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 282,81;;;
PharmConsult s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;60 232,00;;27 210,00;400,00;;
PATRICIUS s.r.o;Ivanka pri Dunaji;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
S&D Pharma CZ, spol. S r.o., organizačná zložka SR;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;1 618,96;0,00;;6 681,00;;
Sunlight Pharmacy 04 s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
COMPOSTELA s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Dr.Max 73 s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
BENU SK 88, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;201,60;;;;;
Gilead Sciences Slovakia s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;13 145,00;48 501,23;1 400,00;51 873,88;
BENU SK 86, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;154,20;;;;;
ALK Slovakia, s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;90 750,00;37 904,00;34 352,56;;5 221,87;
BENU Slovensko, a.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;177 141,00;;;;;
BGP Products s. r. o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;50 719,69;6 741,55;127 280,00;;8 576,67;
BENU SK 87, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;59,40;;630,64;;;
BENU SK 53, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;102,00;;1 691,94;;;
Biodrug s.r.o.;Bratislava - Vajnory;Okres Bratislava III;Bratislavský kraj;0,00;0,00;1 584,00;21 320,00;2 208,00;
Lekáreň Tyrnavia s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Amomed Pharma GmbH, organizačná zložka;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;5 632,00;2 250,00;;;883,98;
Angelini Pharma Slovenská republika s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;474 921,00;497 205,00;122 425,00;49 979,00;41 697,22;312,30
BENU SK 54, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;26 375,10;;5 256,12;;;
BENU SK 55, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;150,00;;1 128,68;;;
Apotheke03 s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Apotheke05 s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;51,50;0,00;;;;
Apotheke02 s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
BENU SK 8, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;;;;
Apotheke01 s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PopradPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Apotheke06 s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Xantis Pharma, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;43 708,69;7 748,46;31 994,50;18 313,29;346,23;804,00
Lekáreň Íris;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;600,00;0,00;;;;
LARMIA s. r. o.;Tomášov;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
Baxalta Slovakia;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;58 453,28;7 611,07;28 857,95;26 010,82;33 455,89;
BA Pharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
VULM s.r.o.;Bratislava - Vajnory;Okres Bratislava III;Bratislavský kraj;8 922,35;;;;;
MojeLIEKY.sk s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
Allergan SK s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;66 996,53;8 915,43;4 150,00;41 990,80;10 421,57;
Shire Slovakia s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;119 444,16;;12 810,00;;35 540,47;
BENU SK 58, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;;;;
BENU SK 59, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;305,00;;774,00;;;
BENU SK 60, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;48,00;;142,25;;;
