PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 1. polrok 2020;;;;;;;;;;
;;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;;
;;;;;;;;;;
Spoločnosť;;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
TEVA Pharmaceuticals Slovakia, s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;TEVA Pharmaceuticals Slovakia, s.r.o.;101 586,04;494 770,28;13 740,00;100,00;1 808,53;
Lekáreň POŠEŇ s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Lekáreň POŠEŇ s.r.o.;;;;;;
LekInvest s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;LekInvest s.r.o.;541,20;;;;;
hc&ph, s.r.o.;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;hc&ph, s.r.o.;0,00;0,00;;;;
MedCon, s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;MedCon, s.r.o.;0,00;0,00;;;;
PHARMACENTRUM, spol.s.r.o.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;PHARMACENTRUM, spol.s.r.o.;;;;;;
Westcor sro;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Gebro Pharma GmbH;0,00;0,00;;;;
GLENMARK PHARMACEUTICALS SK, s. r. o.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;GLENMARK PHARMACEUTICALS SK, s. r. o.;275 965,19;141 142,85;;;4 345,42;
OCCELUS, s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;OCCELUS, s.r.o.;15 319,00;;;;;
MagnaPharm SK s. r. o.;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;MagnaPharm SK s. r. o.;0,00;350,00;;;;
Lekareň pri radnici.spol s r.o.;Bratislava - Devínska Nová Ves;Bratislavský kraj;Okres Bratislava IV;Lekareň pri radnici.spol s r.o.;0,00;0,00;;;;
Lekáreň 24 s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;Lekáreň 24 s.r.o.;99,60;;;;;
Neuraxpharm Slovakia, a.s.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Neuraxpharm Slovakia, a.s.;1 782,00;65 220,00;;;;
Národný ústav srdcových a cievnych chorôb, a.s.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;Národný ústav srdcových a cievnych chorôb, a.s.;0,00;0,00;;;;
SANDOZ d.d. - organizačná zložka;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;SANDOZ d.d. - organizačná zložka;429 341,64;167 497,41;166 374,00;35 622,00;29 574,51;
PharmInvest s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;PharmInvest s.r.o.;699,60;;;;;
AOP Orphan Pharmaceuticals AG - organizačná zložka;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;AOP Orphan Pharmaceuticals AG - organizačná zložka;0,00;0,00;14 100,00;;;
Pharmacom, s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Pharmacom, s.r.o.;0,00;0,00;;;;
PHARMACOM, spol. s r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Innotech International, Francúzsko;4 680,00;0,00;;;;
Pharmacom, s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Béres Pharmaceuticals Ltd, Maďarsko;3 840,00;0,00;;;;
PK Pezinok, spol. s r.o.;Pezinok;Bratislavský kraj;Okres Pezinok;PK Pezinok, spol. s r.o.;0,00;0,00;;;;
Mgr. Terézia Mičková - Lekáreň Fortuna;Stupava;Bratislavský kraj;Okres Malacky;Mgr. Terézia Mičková - Lekáreň Fortuna;0,00;0,00;;;;
Stallergenes CZ s.r.o., organizačná zložka;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;Stallergenes CZ s.r.o., organizačná zložka;28 821,55;;14 800,00;2 100,00;;
Allergy Therapeutics (UK) Limited, organizačná zložka;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Allergy Therapeutics (UK) Limited, organizačná zložka;528,00;;;;;
IlavaMedica s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;IlavaMedica s.r.o.;99,60;;;;;
Vitabalans SK s.r.o.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;Vitabalans SK s.r.o.;53 664,20;;;26 115,60;;
Biogen Slovakia s.r.o.;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;Biogen Slovakia s.r.o.;42 565,73;45 858,20;145 085,60;28 301,00;7 808,47;
Lekáreň TERNO, s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Lekáreň TERNO, s.r.o.;1 027,50;;;;;
ZaPharm s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;ZaPharm s.r.o.;199,20;;;;;
ORTOSPINE,s.r.o;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;ORTOSPINE,s.r.o;0,00;0,00;;;;
BENU SK 26,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 26,  s. r. o.;;;1 545,93;;;
BENU SK 36,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 36,  s. r. o.;30,00;;1 307,27;;;
BanPharm s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BanPharm s.r.o.;2 888,84;;;;;
PharmReal s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;PharmReal s.r.o.;491,60;;;;;
PharmacyMax s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;PharmacyMax s.r.o.;99,60;;;;;
LAMA PLUS s.r.o.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;LAMA PLUS s.r.o.;0,00;0,00;;;;
Sovanis s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;Sovanis s.r.o.;1 096,60;;;;;
MedVan, s.r.o.;Viničné;Bratislavský kraj;Okres Pezinok;MedVan, s.r.o.;0,00;0,00;;;;
ŠacaPharm s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;ŠacaPharm s.r.o.;379,60;;;;;
Novartis Slovakia s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Novartis Slovakia s.r.o.;130 255,11;877 438,86;983 260,76;961 557,83;45 060,11;
PHARMA CBC II, s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;PHARMA CBC II, s.r.o.;0,00;0,00;;;;
Farmal s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;Farmal s.r.o.;231,60;;;;;
Novo Nordisk Slovakia, s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Novo Nordisk Slovakia, s.r.o.;408 468,19;;152 374,00;487 267,50;7 360,80;
Martinus Optik;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Martinus Optik;0,00;0,00;;;;
Lekim s.r.o;Závod;Bratislavský kraj;Okres Malacky;Lekim s.r.o;0,00;0,00;;;;
Axonia Pharma s.r.o.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;Axonia Pharma s.r.o.;0,00;0,00;;;;
AntolMedica s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;AntolMedica s.r.o.;316,80;;;;;
Red Three E, s.r.o;Bratislava - Karlova Ves;Bratislavský kraj;Okres Bratislava IV;Red Three E, s.r.o;2 100,00;0,00;;;;
SladMedica s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;SladMedica s.r.o.;506,90;;;;;
DarMedica s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;DarMedica s.r.o.;466,60;;;;;
Movianto Slovensko s.r.o;Senec;Bratislavský kraj;Okres Senec;Movianto Slovensko s.r.o;0,00;0,00;;;;
Mgr. Mária Koporcová - LEKÁREŇ RENDEZ;Bernolákovo;Bratislavský kraj;Okres Senec;Mgr. Mária Koporcová - LEKÁREŇ RENDEZ;0,00;0,00;;;;
S&D Pharma SK s.r.o;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;S&D Pharma SK s.r.o;;63 169,44;10 270,00;2 300,00;;
Top Medical s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;Top Medical s.r.o.;403,90;;;;;
KRKA Slovensko s.r.o. ;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;KRKA Slovensko s.r.o. ;259 356,00;99 117,00;339 300,00;40 110,00;26 614,92;
Celgene s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava II;Celgene s.r.o.;17 972,29;16 552,99;4 700,10;8 718,80;629,36;
STADA PHARMA Slovakia, s.r.o.;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;STADA PHARMA Slovakia, s.r.o.;796 374,00;3 792,00;503 335,00;106 340,00;405,00;
ŽelMedica s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;ŽelMedica s.r.o.;1 010,10;500,00;;;;
TatraPharm s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;TatraPharm s.r.o.;99,60;;;;;
Sunlight Pharmacy 01 s.r.o;Bratislava - Karlova Ves;Bratislavský kraj;Okres Bratislava IV;Sunlight Pharmacy 01 s.r.o;;;;;;
Medic International;Bratislava - Karlova Ves;Bratislavský kraj;Okres Bratislava IV;Medic International;0,00;0,00;;;;
Panmed.SK;Bratislava - Podunajské Biskupice;Bratislavský kraj;Okres Bratislava II;Panmed.SK;0,00;0,00;;;;
MoyMedica s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;MoyMedica s.r.o.;99,60;;;;;
KrasMedica s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;KrasMedica s.r.o.;5 375,90;2 000,00;;;;
LT, s. r. o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;LT, s. r. o.;0,00;0,00;;;;
Vipharm Slovakia s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Vipharm Slovakia s.r.o.;78 958,60;0,00;99 150,50;28 690,00;373,00;
Mylan s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Mylan s.r.o.;67 474,00;68 921,00;57 200,30;2 730,00;7 543,49;
PHARMCROSS s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;PHARMCROSS s.r.o.;99,60;;;;;
Pharm-In, spol.s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Pharm-In, spol.s.r.o.;;;11 900,00;;;
Lekáreň UNIMED PHARMA s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Lekáreň UNIMED PHARMA s.r.o.;;;;;;
Sunlight Pharmacy 03,  s.r.o.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;Sunlight Pharmacy 03,  s.r.o.;4 778,00;0,00;;;;
Merck Sharp & Dohme, s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Merck Sharp & Dohme, s.r.o.;;139 302,74;24 978,00;1 080,00;10 957,53;
LEKÁREŇ V KRUHU s.r.o.;Bratislava - Podunajské Biskupice;Bratislavský kraj;Okres Bratislava II;LEKÁREŇ V KRUHU s.r.o.;0,00;0,00;;;;
KapitulPharm s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;KapitulPharm s.r.o.;573,60;;;;;
BaníkMedica s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BaníkMedica s.r.o.;329,60;;;;;
Lekáreň ASTRA, s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;Lekáreň ASTRA, s.r.o.;99,60;;;;;
Boehringer Ingelheim RCV GmbH & Co KG, o.z.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;Boehringer Ingelheim RCV GmbH & Co KG, o.z.;313 541,90;129 627,75;68 897,83;9 572,00;16 951,11;
EVAPHARM plus s.r.o;Senec;Bratislavský kraj;Okres Senec;EVAPHARM plus s.r.o;0,00;0,00;;;;
dewtech s.r.o.;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;dewtech s.r.o.;792,00;;;;;
Desitin Pharma s.r.o.;Bratislava - Podunajské Biskupice;Bratislavský kraj;Okres Bratislava II;Desitin Pharma s.r.o.;1 500,00;;;;;
Bausch Health Slovakia s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Bausch Health Slovakia s.r.o.;191 472,00;146 183,00;17 192,25;33 560,00;11 199,12;
farmplus s.r.o.;Pezinok;Bratislavský kraj;Okres Pezinok;farmplus s.r.o.;0,00;0,00;;;;
Pharmacenter Slovakia s.r.o.;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;Pharmacenter Slovakia s.r.o.;;;;;;
Orphanmed s. r. o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Orphanmed s. r. o.;0,00;0,00;;;;
Anis s. r. o.;Stupava;Bratislavský kraj;Okres Malacky;Anis s. r. o.;239,04;;;;;
ALESTEPHARM s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;ALESTEPHARM s.r.o.;0,00;0,00;;;;
Eisai GesmbH, organizačná zložka;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;Eisai GesmbH, organizačná zložka;;3 674,05;8 620,36;;;
Swedish Orphan Biovitrum o.z.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Swedish Orphan Biovitrum o.z.;21 954,00;1 489,26;2 530,00;;4 554,84;
SUNLIGHT medical systems, s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;SUNLIGHT medical systems, s.r.o.;226,00;0,00;;;;
Lekáreň centrum Stupava s.r.o.;Bratislava - Záhorská Bystrica;Bratislavský kraj;Okres Bratislava IV;Lekáreň centrum Stupava s.r.o.;0,00;0,00;;;;
SEVER s.r.o.;Pezinok;Bratislavský kraj;Okres Pezinok;SEVER s.r.o.;0,00;0,00;;;;
plusfarm, s.r.o.;Pezinok;Bratislavský kraj;Okres Pezinok;plusfarm, s.r.o.;0,00;0,00;;;;
IQ-MED a.s.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;IQ-MED a.s.;0,00;0,00;;;;
HEATON SK, s.r.o.;Bratislava - Podunajské Biskupice;Bratislavský kraj;Okres Bratislava II;HEATON SK, s.r.o.;462,00;;;;462,00;
ESSEPHARM;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;ESSEPHARM;0,00;0,00;;;;
LUMATEC,s.r.o.;Bratislava - Záhorská Bystrica;Bratislavský kraj;Okres Bratislava IV;LUMATEC,s.r.o.;0,00;0,00;;;;
MOVO s.r.o.;Plavecké Podhradie;Bratislavský kraj;Okres Malacky;MOVO s.r.o.;0,00;0,00;;;;
BENU SK 5, s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 5, s.r.o.;110,00;;108,38;;;
TatraMedical s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;TatraMedical s.r.o.;382,30;;;;;
Lekáreň u sv. Martina, s.r.o.;Senec;Bratislavský kraj;Okres Senec;Lekáreň u sv. Martina, s.r.o.;0,00;0,00;;;;
Farmácia, n.o.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;Farmácia, n.o.;;;;;299,00;
Gedeon Richter Slovakia, s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Gedeon Richter Slovakia, s.r.o.;286 301,00;123 753,00;99 585,50;7 000,00;19 877,58;17 763,54
Exeltis Slovakia s. r. o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Exeltis Slovakia s. r. o.;251 563,54;51 646,17;24 235,00;13 630,00;94,00;301,00
Amgen Slovakia s.r.o;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;Amgen Slovakia s.r.o;96 491,44;53 650,82;63 378,95;14 523,50;46 161,21;
Ma-Ma Pharm,s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Ma-Ma Pharm,s.r.o.;0,00;0,00;;;;
EVOPHARM s.r.o. v likvidácii;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;EVOPHARM s.r.o. v likvidácii;0,00;0,00;;;;
Lekáreň Vajnory s.r.o.;Bratislava - Vajnory;Bratislavský kraj;Okres Bratislava III;Lekáreň Vajnory s.r.o.;18 000,00;;;;;
MGL PHARM s.r.o.;Bernolákovo;Bratislavský kraj;Okres Senec;MGL PHARM s.r.o.;0,00;0,00;;;;
Bracco Imaging Slovakia s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Bracco Imaging Slovakia s.r.o.;;9 888,00;4 664,79;;3 945,00;
TOPTOM, s.r.o.;Reca;Bratislavský kraj;Okres Senec;TOPTOM, s.r.o.;0,00;0,00;;;;
AUDIOCENTRUM SK, s.r.o.;Pezinok;Bratislavský kraj;Okres Pezinok;AUDIOCENTRUM SK, s.r.o.;578,50;;;;;
Knoll-Pharma,s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Knoll-Pharma,s.r.o.;0,00;0,00;;;;
Coralex s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Coralex s.r.o.;0,00;0,00;;;;
Medichronos s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;Medichronos s.r.o.;695,00;;;;;
Pharmacum BN s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;Pharmacum BN s. r. o.;99,60;;;;;
MINELA s,r,o,;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;MINELA s,r,o,;0,00;0,00;;;;
WIDEX- SLOVTON Slovakia s.r.o;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;WIDEX- SLOVTON Slovakia s.r.o;;;34 359,51;46 421,50;;
AbbVie s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;AbbVie s.r.o.;73 362,00;160 003,56;290 862,91;346 046,80;37 953,41;0,00
SPV96 s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;SPV96 s.r.o.;0,00;0,00;;;;
FitMedica s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;FitMedica s.r.o.;821,10;;;;;
LekMedica s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;LekMedica s.r.o.;564,00;;;;;
ZdravMedica s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;ZdravMedica s.r.o.;99,60;;;;;
PharmMedica s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;PharmMedica s.r.o.;848,96;;;;;
SlovMedica s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;SlovMedica s.r.o.;489,60;;;;;
GlaxoSmithKline Consumer Healthcare Slovakia s.r.o.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;GlaxoSmithKline Consumer Healthcare Slovakia s.r.o.;2 570 612,00;1 360 908,00;1 500,00;41 504,05;;
muoj s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;muoj s.r.o.;286,00;0,00;;;;
ALFASIGMA CZECH s.r.o. organizačná zložka Slovensko;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;ALFASIGMA CZECH s.r.o. organizačná zložka Slovensko;22 781,17;17 620,01;;;22 781,17;
G. L. Pharma Slovakia, s.r.o.;Bratislava - Nové Mesto;Bratislavský kraj;Okres Bratislava III;G. L. Pharma Slovakia, s.r.o.;300,00;;71 100,00;2 500,00;;
ixcon s.r.o.;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;ixcon s.r.o.;0,00;0,00;;;;
BENU SK 45,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 45,  s. r. o.;;;2 887,06;;;
BENU SK 46,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 46,  s. r. o.;30,00;;889,18;;;
Ing. Karel Jančík -SLÚCHADLÁ OTICON, s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Ing. Karel Jančík -SLÚCHADLÁ OTICON, s.r.o.;0,00;0,00;;;;
BENU SK 47,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 47,  s. r. o.;178,45;;4 213,37;;;
BENU SK 51,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 51,  s. r. o.;30,00;;3 026,95;;;
BENU SK 50,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 50,  s. r. o.;40,00;;6 769,72;;;
BENU SK 48,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 48,  s. r. o.;140,00;;3 342,91;;;
SEVERLEK , s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;SEVERLEK , s.r.o.;589,60;;;;;
AstraMedica s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;AstraMedica s.r.o.;479,60;;;;;
EuroMedica s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;EuroMedica s.r.o.;493,60;;;;;
EkoMedica s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;EkoMedica s.r.o.;99,60;;;;;
OptiMedica s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;OptiMedica s.r.o.;580,40;;;;;
DiaMedica s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;DiaMedica s.r.o.;99,60;;;;;
CamilMedica s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;CamilMedica s. r. o.;704,60;;;;;
Apotéka na námestí s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;Apotéka na námestí s.r.o.;704,50;;;;;
JasMedica s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;JasMedica s.r.o.;99,60;;;;;
DCX spol. s r. o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;DCX spol. s r. o.;0,00;0,00;;;;
LK1 sro;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;LK1 sro;0,00;0,00;;;;
EFLEK;Bratislava - Dúbravka;Bratislavský kraj;Okres Bratislava IV;EFLEK;1 845,00;;;;;
Pilulka.sk, a. s.;Bratislava - Ružinov;Bratislavský kraj;Okres Bratislava II;Pilulka.sk, a. s.;0,00;0,00;;;;
medac Gesellschaft für klinische Spezialpräparate m.b.H., organizačná zložka Slovensko;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;medac Gesellschaft für klinische Spezialpräparate m.b.H., organizačná zložka Slovensko;600,00;0,00;;7 337,00;;
PharmaVital s.r.o.;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;PharmaVital s.r.o.;0,00;0,00;;35,00;;9,90
RAKLIM, s.r.o.;Bratislava - Petržalka;Bratislavský kraj;Okres Bratislava V;RAKLIM, s.r.o.;1 680 807,00;0,00;;;;
BENU SK 18, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 18, s. r. o.;;;1 080,50;;;
BENU SK 38,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 38,  s. r. o.;130,80;;3 209,68;;;
BENU SK 7, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 7, s. r. o.;30,00;;1 514,04;;;
BENU SK 42,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 42,  s. r. o.;30,00;;2 002,33;;;
BENU SK 24, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 24, s. r. o.;23,50;;1 027,25;;;
BENU SK 37,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 37,  s. r. o.;10,00;;60,00;;;
BENU SK 32,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 32,  s. r. o.;30,00;;;;;
BENU SK 41,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 41,  s. r. o.;2 413,60;;;;;
BENU SK 3, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 3, s. r. o.;40,00;;1 383,08;;;
BENU SK 16, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 16, s. r. o.;179,52;;123,33;;;
BENU SK 29,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 29,  s. r. o.;670,00;;1 154,42;;;
BENU SK 43,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 43,  s. r. o.;30,00;;1 676,90;;;
BENU SK 15, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 15, s. r. o.;20,00;;9 047,26;;;
BENU SK 12, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 12, s. r. o.;;;525,06;;;
BENU SK 1, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 1, s. r. o.;144,00;;80,00;;;
BENU SK 28,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 28,  s. r. o.;563,62;;1 409,82;;;
BENU SK 31,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 31,  s. r. o.;152,00;;2 618,93;;;
BENU SK 4, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 4, s. r. o.;30,00;;;;;
BENU SK 25,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 25,  s. r. o.;142,00;;41,31;;;
BENU SK 19, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 19, s. r. o.;;;1 827,50;;;
BENU SK 14, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 14, s. r. o.;60,00;;182,40;;;
Aspen Pharma Ireland Limited, organizačná zložka;Bratislava - Staré Mesto;Bratislavský kraj;Okres Bratislava I;Aspen Pharma Ireland Limited, organizačná zložka;12 330,93;29 449,72;;;11 388,64;
BENU SK 17, s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 17, s. r. o.;160,00;;2 723,27;;;
BENU SK 34,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 34,  s. r. o.;40,00;;2 021,76;;;
BENU SK 52,  s. r. o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 52,  s. r. o.;20,00;;8 829,59;;;
BENU SK 6, s.r.o.;Bratislava - Rača;Bratislavský kraj;Okres Bratislava III;BENU SK 6, s.r.o.;20,00;;2 659,60;;;
