PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 2. polrok 2017;;;;;;;;;
;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;
;;;;;;;;;
Spoločnosť poskytujúca plnenie;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
Biogen Slovakia s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;51 416,40;11 225,16;73 313,40;9 246,00;36 588,43;
Lekáreň pri nemocnici - Čadca, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Lekáreň TERNO, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Krásno, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
ARIES SLOVAKIA s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
ZaPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
BENU SK 26, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;8 199,00;;;
BENU SK 36, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 860,00;;;
BanPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;2 124,52;0,00;;;;
PharmExpo s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;2 285,71;0,00;;;;
PharmReal s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;1 250,60;0,00;;;;
MML Topoľčany s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PharmacyMax s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Sovanis s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;230,00;0,00;;;;
MedVan;Viničné;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
ŠacaPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PROSALUTE s.r.o.;Modra;Okres Pezinok;Bratislavský kraj;;;;;;
HEKAS, s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
lekareň sv.kríža.s.r.o.;Bratislava - Vajnory;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Novartis Slovakia s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;158 219,40;428 276,41;524 588,50;524 187,25;93 728,41;3 137,38
Pharma CBC II;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Novo Nordisk Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;447 025,00;0,00;101 465,00;196 899,00;34 418,13;
PHARMATOP;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
MARTINUS Optik, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;3 767,90;;;;;
Lekáreň Prima;Závod;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
Ottobock Slovakia s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;8 369,78;;;2 839,02;;
Lekáreň Rača s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Axonia Pharma s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
APELLA, s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
SladMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
DarMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Martin;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Movianto Slovensko;Senec;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
S&D Pharma SK s.r.o;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;79 361,79;;13 780,00;17 827,20;;
Doropharm k.s.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Pharmacum Trnava s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;447,48;0,00;;;;
Top Medical s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Krka Slovensko s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;602 246,00;414 618,00;566 072,80;32 350,00;130 969,66;
Celgene s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;155 370,42;234 339,44;92 854,00;36 702,90;84 917,14;806,99
STADA PHARMA Slovakia, s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;917 931,00;290 303,00;384 759,00;79 203,00;22 207,51;7 691,32
ŽelMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;1 360,00;0,00;;;;
TatraPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;753,20;0,00;;;;
Medic International s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PANMED.SK;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
MoyMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;30,00;0,00;;;;
KrasMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;5 600,00;0,00;;;;
LT, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
4 LIFE PHARMA SK, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;5 350,00;6 540,00;;;;
Vipharm Slovakia s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;74 065,36;0,00;105 178,50;26 306,50;;
MYLAN s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;152 900,00;90 061,00;238 001,35;6 260,00;39 608,13;360,00
Lekáreň Jantár s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PHARMCROSS s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PdPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;1 050,18;0,00;;;;
Pharm-In, spol. s r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;;;7 370,00;;;
Lekáreň POLIKLINIKA BYTČA s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
ŠpitalPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Merck Sharp & Dohme, s.r.o. ;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;;766 662,95;256 719,89;12 626,95;109 078,87;376,85
LEKÁREŇ V KRUHU s.r.o.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Feroka s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
KapitulPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;125,00;0,00;;;;
BaníkMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Lekáreň ASTRA, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Boehringer Ingelheim RCV GmbH & Co KG, o.z.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;591 577,25;65 120,25;290 965,92;45 017,86;272 307,59;3 291,60
EVAPHARM plus  s r o;Senec;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
dewtech;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
DESITIN PHAMRA, s.r.o.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;8 520,00;5 148,00;1 300,00;900,00;305,00;80,00
Valeant Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;1 092 812,34;172 231,07;;52 876,00;28 717,28;
optik-pharma a.s.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;250,00;;;;;
Pharmacenter Slovakia s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;3 056,16;1 080,00;;;105,00;
Orphanmed;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;;;;;
Anis s.r.o.;Stupava;Okres Malacky;Bratislavský kraj;239,04;;;;;
Eisai GesmbH, organizačná zložka;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;;17 215,38;6 177,24;;;
Swedish Orphan Biovitrum o.z.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;16 594,40;0,00;900,00;;3 804,87;
Lekáreň Centrum Stupava s.r.o.;Bratislava - Záhorská Bystrica;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
SEVER s.r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
Actelion Pharmaceuticals SK, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;94 142,00;22 605,00;33 258,10;2 791,80;21 760,78;0,00
IQ-MED a.s.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
HEATON SK, s.r.o.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;10 193,75;;;;10 193,75;
LUMATEC,s.r.o.;Bratislava - Záhorská Bystrica;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
MOVO s.r.o.;Plavecké Podhradie;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
Podotech;Senec;Okres Senec;Bratislavský kraj;428,00;0,00;;;;
LTM PROLEK;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;200,00;;;;;
BENU SK 5, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;6 559,50;;;
TatraMedical s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Falck Pharma;Bratislava - Devínska Nová Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Lekáreň u sv. Martina,s.r.o.;Senec;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
Agepha Pharma s.r.o.;Senec;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
Farmácia, n.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;;;;;368,00;
PharmSun s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Gedeon Richter Slovakia, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;495 469,00;262 458,00;148 645,00;44 372,00;56 888,32;77 713,27
Exeltis  Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;221 146,45;48 230,00;;;10 783,00;5 441,00
LEO Pharma s.r.o., organizačná zložka;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;6 653,00;;273,60;1 576,80;;
Amgen Slovakia s.r.o;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;127 854,00;370 044,00;132 900,10;4 585,55;129 223,39;
EVOPHARM s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;170,63;259 696,00;;;;
Bemedi;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;240,90;0,00;;;;
MGL Pharm s.r.o.;Bernolákovo;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
MEDICOPHARM s.r.o;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Bracco Imaging Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;;44 689,03;37 533,12;1 215,00;8 575,34;5 566,07
TOPTOM, s.r.o.;Reca;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
MOnPharm s.r.o.;Chorvátsky Grob;Okres Senec;Bratislavský kraj;4 249,00;;;;;
KeyMed s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
DS Pharm s. r. o.;Tomášov;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
Medichronos s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;415,63;0,00;;;;
Lekáreň HARMONIA;Malacky;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
Pharmacum BN s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
SiloePharm IV.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;4 220,00;4 220,00;;;;
Pharmacia s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;119,00;;;;;
WIDEX - SLOVTON Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;;;20 080,00;32 057,00;;
AbbVie s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;210 283,00;448 024,56;189 377,31;211 577,91;342 682,72;1 000,00
Medical Pharmacy, s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;;;;;;
FitMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;18,49;0,00;;;;
LekMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
ZdravMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;36,98;0,00;;;;
PharmMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
SlovMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
GlaxoSmithKline Consumer Healthcare Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;1 944 378,11;321 810,00;;7 758,00;;
muoj s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;300,00;0,00;;;;
ALFASIGMA CZECH s.r.o., organizačná zložka Slovensko;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;15 159,00;3 200,00;;;17 470,00;
G. L. Pharma Slovakia, s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;;;58 100,00;16 900,00;;
ixcon s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
BENU SK 45, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 911,50;;;
BENU SK 46, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 780,60;;;
Ing. Karel Jančík - SLÚCHADLÁ OTICON, s.r.o,;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
BENU SK 47, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 012,00;;;
BENU SK 51, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 441,50;;;
BENU SK 50, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 058,00;700,00;;
BENU SK 49, s.r.o. ;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 758,00;;;
BENU SK 48, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;14 557,00;;;
FERRING Slovakia s. r. o. ;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;63 153,06;16 125,90;82 873,82;7 280,00;56 439,06;
Placebo s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
RX shop a.s.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
AstraMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
EuroMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;993,10;0,00;;;;
EkoMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;17,50;0,00;;;;
OptiMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;55,47;0,00;;;;
BonaMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
DiaMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;736,60;0,00;;;;
CamilMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
JasMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;434,20;0,00;;;;
LEKÁREŇ-Patria, spol. s r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
LK1 sro;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
EFLEK;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;11 677,31;;;;;
medac Gesellschaft für klinische Spezialpräparate m.b.H., organizačná zložka Slovensko;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;600,00;0,00;431,00;11 925,92;;
PharmaVital, s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
slovap5, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Sunflower Pharmacy;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;;;;;;
BENU SK 18, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;2 946,50;;;
BENU SK 40, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 495,20;;;
BENU SK 38, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 476,00;;;
BENU SK 7, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;2 339,30;;;
BENU SK 42, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 537,60;;;
BENU SK 24, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;6 016,00;;;
BENU SK 37, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 753,00;;;
BENU SK 32, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 432,00;;;
BENU SK 41, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 700,00;;;
BENU SK 3, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;2 410,50;;;
BENU SK 16, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 600,00;;;
BENU SK 29, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 627,00;;;
BENU SK 43, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 523,00;;;
BENU SK 15, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;3 118,50;;;
BENU SK 12, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 250,50;;;
BENU SK 1, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 717,14;;;
BENU SK 28, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;8 361,00;;;
BENU SK 31, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 528,00;;;
BENU SK 4, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 160,00;;;
BENU SK 25, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 000,00;;;
BENU SK 19, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 633,20;;;
BENU SK 14, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;7 966,00;;;
Aspen Europe GmbH, organizačná zložka;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;39 570,47;4 800,00;;;29 192,53;
BENU SK 17, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;7 357,00;;;
BENU SK 34, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;7 177,00;;;
BENU SK 52, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 810,00;;;
BENU SK 6, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;10 655,00;;;
BENU SK 39, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 528,00;;;
BENU SK 13, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;10 430,50;;;
BENU SK 35, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;3 582,00;;;
BENU SK 10, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;10 550,50;;;
BENU SK 22, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;6 833,00;;;
BENU SK 20, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;11 345,00;;;
BENU SK 9, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;9 728,00;;;
BENU SK 30, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 536,00;;;
BENU SK 33, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;7 912,50;;;
ProPharma Group;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;;;;;;
BENU SK 11, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;10 525,00;;;
BENU SK 21, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 291,00;;;
PharmConsult s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;7 252,00;53 170,00;35 560,00;1 344,00;;
PATRICIUS s.r.o.;Ivanka pri Dunaji;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
S&D Pharma CZ spol. s r.o. - organizačná zložka SR;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;20,20;0,00;777,60;16 215,00;;
Z&T Pharma s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
K&K Pharmacy IX.,s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;2 020,32;;;;;
COMPOSTELA s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Tesco Petržalka;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;575,00;;;;;
Lekáreň Tesco Senec;Senec;Okres Senec;Bratislavský kraj;575,00;;;;;
Lekáreň Tesco Zlaté Piesky;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;575,00;;;;;
Lekáreň Tesco Lamač;Bratislava - Lamač;Okres Bratislava IV;Bratislavský kraj;575,00;;;;;
Gilead Sciences Slovakia s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;97 541,00;23 361,25;;18 780,29;
ALK Slovakia, s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;67 823,00;24 006,00;34 729,56;1 000,00;12 837,83;
BENU Slovensko, a.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;92 652,49;;;;;
BGP Products s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;25 552,66;21 053,05;60 340,00;900,00;60 126,83;
BENU SK 53, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;7 640,00;;;
BIODRUG s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;;;;;;
Lekáreň Tyrnavia s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Amomed Pharma GmbH, organizačná zložka ;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;8 250,00;2 500,00;;;100,00;150,00
Lekáreň v Terno Devínska;Bratislava - Devínska Nová Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Lekáreň Nesvady s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Angelini Pharma Slovenská republika s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;309 700,11;253 076,08;89 125,19;52 156,00;45 870,24;2 549,30
K&K Pharmacy III., s.r.o;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
BENU SK 54, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;42 094,45;;5 325,00;;;
BENU SK 55, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 712,00;;;
Apotheke03 s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Apotheke05 s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Apotheke02 s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Apotheke01 s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PopradPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;2 080,00;0,00;;;;
Apotheke06 s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
AGEL Trade s.r.o. OZ;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
Xantis Pharma, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;16 669,09;10 112,17;1 935,00;5 484,00;;
K&K Pharmacy VII. s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
lekáreň Íris;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;960,00;0,00;;;;
LARMIA s.r.o.;Tomášov;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
CITY PHARMA;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Lekáreň - Zdravotnícke pomôcky s. r. o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Baxalta Slovakia s.r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;51 825,80;19 200,64;19 815,11;10 074,69;22 400,42;
ProFound Bratislava, s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
BA Pharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;160,00;0,00;;;;
LUCA 88, s. r. o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
VULM s.r.o.;Bratislava - Vajnory;Okres Bratislava III;Bratislavský kraj;452,28;0,00;;;;
