PNP 1 - 02 - Výdavky na propagáciu, marketing, peňažné a nepeňažné plnenia za 1. polrok 2017;;;;;;;;;
;;;;;;;;;
Modul 1: Výdavky na propagáciu a marketing;;;;;;;;;
Modul 2: Peňažné a nepeňažné plnenia spolu podľa príjemcu (zdravotnícky pracovník, resp. poskytovateľ zdravotnej starostlivosti);;;;;;;;;
;;;;;;;;;
Spoločnosť poskytujúca plnenie;;;;Výdavky na marketing a propagáciu;;"Výdavky na peňažné plnenia Spolu
(v EUR s DPH)";;"Výdavky na nepeňažné plnenia Spolu
(v EUR s DPH)";
Merck Sharp & Dohme, s.r.o. ;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;;613 341,92;147 077,57;14 860,00;148 026,12;200,00
Feroka s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
KapitulPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
BaníkMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Lekáreň ASTRA, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;191,00;0,00;;;;
Boehringer Ingelheim RCV GmbH & Co KG, o.z.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;242 555,57;100 054,00;459 007,85;57 706,31;244 592,35;7 561,06
EVAPHARM plus;Senec;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
dewtech;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
Desitin Pharma s.r.o.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;4 851,00;1 932,00;400,00;2 100,00;670,00;750,00
Valeant Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;1 047 460,08;823 526,87;5 843,00;62 029,00;36 981,98;
Pharmacenter Slovakia s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;4 628,70;286,20;;;292,08;
Anis s.r.o.;Stupava;Okres Malacky;Bratislavský kraj;239,04;;;;;
Eisai GesmbH, organizačná zložka;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;;13 351,44;6 797,28;;;
Swedish Orphan Biovitrum o.z.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;3 886,21;2 640,00;3 714,20;;3 788,09;
SUNLIGHT medical systems, s.r.o;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;2 386,24;;;;;
Lekáreň Centrum Stupava s.r.o.;Bratislava - Záhorská Bystrica;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
sever s.r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;0,00;0,00;;;;
Actelion Pharmaceuticals SK, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;81 568,45;63 218,46;25 570,00;;12 439,69;
IQ-MED a.s.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
HEATON SK, s.r.o.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;9 372,41;;;;9 372,41;
LUMATEC,s.r.o.;Bratislava - Záhorská Bystrica;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
MOVO s.r.o;Plavecké Podhradie;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
LTM PROLEK, s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;2 500,00;;;;;
BENU SK 5, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;1 093,00;;;
TatraMedical s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Falck Pharma;Bratislava - Devínska Nová Ves;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
Emperial s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;;;;;;
Agepha Pharma s.r.o.;Senec;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
Farmácia, n.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PharmSun s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Gedeon Richter Slovakia, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;357 424,00;171 745,00;58 900,00;22 450,00;68 943,02;106 104,46
Exeltis  Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;155 289,77;45 015,78;;;27 531,22;9 712,90
LEO Pharma s.r.o., organizačná zložka;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;10 026,00;;;260,00;2 124,00;11 129,36
Amgen Slovakia s.r.o;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;175 556,92;462 180,98;80 455,38;1 280,00;123 724,17;
EVOPHARM s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;135 137,21;;;;;
Bemedi s.r.o.;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;0,00;0,00;;;;
MEDICOPHARM s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
TOPTOM, s.r.o.;Reca;Okres Senec;Bratislavský kraj;0,00;0,00;;;;
MOnPharm s.r.o.;Chorvátsky Grob;Okres Senec;Bratislavský kraj;6 936,69;;;;;
AUDIOCENTRUM SK, s.r.o.;Pezinok;Okres Pezinok;Bratislavský kraj;134,20;0,00;;;;
Medichronos s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
HARMÓNIA Slovakia s.r.o.;Malacky;Okres Malacky;Bratislavský kraj;0,00;0,00;;;;
Pharmacum BN s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
SiloePharm IV, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;2 180,00;159,86;;;;
Lekáreň Na Saratovskej s.r.o;Bratislava - Dúbravka;Okres Bratislava IV;Bratislavský kraj;0,00;0,00;;;;
WIDEX - SLOVTON Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;;;19 253,00;33 014,00;5 280,00;6 930,00
AbbVie, s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;272 470,00;597 618,63;212 631,89;188 523,12;434 548,70;0,00
FitMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
LekMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
ZdravMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
PharmMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
SlovMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
GlaxoSmithKline Consumer Healthcare Slovakia s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;2 144 658,09;362 572,80;1 772,50;3 126,00;;
muoj s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;220,00;;;;;
ALFA WASSERMANN CZECH s.r.o., organizačná zložka Slovensko;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;112 373,87;21 500,00;;;112 373,87;
G.L. Pharma Slovakia, s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;6 000,00;;40 175,00;8 950,00;;
BENU SK 45, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 852,00;;;
BENU SK 46, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 018,00;;;
Ing. Karel Jančík - SLÚCHADLÁ OTICON, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
BENU SK 47, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 736,00;;;
BENU SK 51, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;3 252,70;;;
BENU SK 50, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 483,50;;;
BENU SK 49, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 580,00;;;
BENU SK 48, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;16 681,50;;;
FERRING Slovakia s. r. o. ;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;51 877,92;6 041,61;97 357,36;4 060,00;49 955,06;
Placebo, s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Orion Pharma s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;330,00;;;19 755,55;
AstraMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
EkoMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;1 826,10;0,00;;;;
OptiMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
BonaMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
DiaMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
CamilMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
JasMedica s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;480,00;0,00;;;;
LEKAREN-Patria spol.s r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
EFLEK;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;3 835,00;0,00;;;;
medac Gesellschaft für klinische Spezialpräparate m.b.H., organizačná zložka Slovensko;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;600,00;0,00;15 600,00;12 198,36;;
PharmaVital, s.r.o.;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;0,00;0,00;;;;
BENU SK 18, s.r.o. ;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;2 968,50;;;
BENU SK 40, s.r.o. ;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 105,20;;;
BENU SK 38, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 375,00;;;
BENU SK 7, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;2 227,30;;;
BENU SK 42, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 589,80;;;
BENU SK 24, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 794,00;;;
BENU SK 37, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 686,00;;;
BENU SK 32, s.r.o. ;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 871,60;;;
BENU SK 41, s.r.o. ;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;7 376,70;;;
BENU SK 44, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;16 035,30;;3 807,00;;;
BENU SK 3, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;2 407,00;;;
BENU SK 16, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 330,00;;;
BENU SK 29, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 327,00;;;
BENU SK 43, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 461,00;;;
BENU SK 15, s.r.o. ;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;3 285,79;;;
BENU SK 12, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;3 080,70;;;
BENU SK 1, s.r.o. ;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;6 176,14;;;
BENU SK 28, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;8 358,50;;;
BENU SK 31, s.r.o. ;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;6 212,00;;;
BENU SK 4, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 750,00;;;
BENU SK 25, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 008,00;;;
BENU SK 19, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;6 512,20;;;
BENU SK 14, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;6 228,00;;;
Aspen Europe GmbH, organizačná zložka;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;34 477,66;12 429,13;;;41 174,52;
BENU SK 17, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;6 456,00;;;
BENU SK 34, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;9 281,10;;;
BENU SK 52, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 013,50;;;
BENU SK 6, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;10 642,50;;;
BENU SK 39, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;8 076,50;;;
BENU SK 13, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;9 121,20;;;
BENU SK 35, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;7 315,00;;;
BENU SK 10, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;10 775,00;;;
BENU SK 22, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 505,50;;;
BENU SK 20, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;10 771,50;;;
BENU SK 9, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;9 114,30;;;
BENU SK 30, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;5 898,50;;;
BENU SK 33, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;6 803,00;;;
BENU SK 11, k.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;9 699,50;;;
BENU SK 21, ;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 222,50;;;
PharmConsult s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;4 914,00;5 400,00;7 480,00;;;
S&D Pharma CZ spol.s r.o. - organizačná zložka SR;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;1 670,00;0,00;400,00;3 200,00;;
K&K Pharmacy IX., s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
lekáreň Tesco Petržalka;Bratislava - Petržalka;Okres Bratislava V;Bratislavský kraj;525,00;;;;;
lekáreň Tesco Senec;Senec;Okres Senec;Bratislavský kraj;525,00;;;;;
lekáreň Tesco Zlaté Piesky;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;525,00;;;;;
lekáreň Tesco Lamač;Bratislava - Lamač;Okres Bratislava IV;Bratislavský kraj;525,00;;;;;
Gilead Sciences Slovakia s.r.o. - Držiteľ povolenia na veľkodistribúciu liekov;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;0,00;;0,00;
Gilead Sciences Slovakia s.r.o. - Farmaceutická spoločnosť;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;69 043,45;20 528,45;2 100,00;35 711,27;
ALK Slovakia, s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;73 078,00;16 539,00;27 269,37;;31 638,29;
BENU SK, a.s.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;121 015,78;;;;;
BGP Products s.r.o.;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;5 988,68;429,55;67 600,00;300,00;97 201,85;
BENU SK 53, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;8 296,00;;;
BIODRUG s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;;;;;;
Lekáreň Tyrnavia s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Amomed Pharma GmbH, organizačná zložka;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;3 500,00;1 300,00;;;110,00;
Lekáreň Nesvady s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Angelini Pharma Slovenská republika s.r.o.;Bratislava - Nové Mesto;Okres Bratislava III;Bratislavský kraj;160 201,49;445 442,88;72 145,00;31 695,66;84 557,38;15 519,30
BENU SK 54, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;10 469,80;;5 728,00;;;
Apotheke03 s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;1 243,00;0,00;;;;
Apotheke02 s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;98,00;0,00;;;;
Apotheke01 s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;98,00;0,00;;;;
PopradPharm s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Apotheke06 s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;0,00;0,00;;;;
Xantis Pharma, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;13 897,42;146 561,00;1 832,00;25 516,00;;
novafon s.r.o;Bratislava - Dúbravka;Okres Bratislava IV;Bratislavský kraj;100,00;100,00;;;;
Lekáreň Íris;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;280,00;;;;;
Baxalta Slovakia s.r.o.;Bratislava - Karlova Ves;Okres Bratislava IV;Bratislavský kraj;49 041,94;13 344,47;12 066,02;2 850,00;13 218,02;
VULM s.r.o.;Bratislava - Vajnory;Okres Bratislava III;Bratislavský kraj;1 671,80;0,00;;;;
ALLERGAN SK s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;117 839,08;74 222,03;17 650,00;2 400,00;64 906,13;
Shire Slovakia s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;51 114,86;0,00;21 343,19;28 876,00;10 518,64;
BENU SK 58, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 966,35;;;
BENU SK 59, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 423,00;;;
BENU SK 60, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 366,00;;;
BENU SK 63, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 018,60;;;
BENU SK 62, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;4 487,00;;;
BENU SK 67, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;3 859,70;;;
BENU SK 66, s.r.o.;Bratislava - Rača;Okres Bratislava III;Bratislavský kraj;;;3 434,00;;;
PASCOE Slovensko, s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;19 363,04;930,05;5 293,74;5 788,56;;
Santen OY;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;20 000,00;2 000,00;;;15 114,95;
INLEK;Bratislava - Podunajské Biskupice;Okres Bratislava II;Bratislavský kraj;698,58;;;;;
PJ Trade s.r.o.;Bratislava - Staré Mesto;Okres Bratislava I;Bratislavský kraj;0,00;0,00;;;;
URSAPHARM spol. s r.o., organizačná zložka;Bratislava - Ružinov;Okres Bratislava II;Bratislavský kraj;13 040,75;0,00;;;;
Univerzitná lekáreň;Košice - Sever;Okres Košice I;Košický kraj;0,00;0,00;;;;
MARCOM, s.r.o;Košice - Západ;Okres Košice II;Košický kraj;1 110,00;;;1 110,00;;
PHARMAVIT spol. s r. o.;Košice - Juh;Okres Košice IV;Košický kraj;107,10;0,00;;;;
MEDICENTRUM, spol. s.r.o.;Košice - Sídlisko KVP;Okres Košice II;Košický kraj;8 500,00;0,00;;7 900,00;;
FERUMI spol. s r.o.;Košice - Západ;Okres Košice II;Košický kraj;5 251,66;0,00;;5 212,06;;
Lekáreň na Miklovkách s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň SIMBA, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;180,00;0,00;;;;
SUISSE PHARMACIA, spol. s r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
SLOVPOL Krompachy s.r.o.;Krompachy;Okres Spišská Nová Ves;Košický kraj;0,00;0,00;;;;
PHARMEDIA spolosčnosť s ručením obmedzedným Košice;Košice - Západ;Okres Košice II;Košický kraj;0,00;;;;;
PHARMSTORE, spol. s r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;;;;;
D.I.Z. spol. s r.o.;Košice - Myslava;Okres Košice II;Košický kraj;0,00;0,00;;;;
ORTOPROplus, spol s r.o.;Košice - Juh;Okres Košice IV;Košický kraj;779 163,00;;;;;
Lekáreň L. PASTEURA s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
ASTEN spol. s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;2 572,00;;;2 560,00;;
DRUG PHARMA, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;22,80;;;;;
Lekáreň Vysoká pri Morave, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Bio G medipharma, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;154,44;;;;;
Lekáreň MAX TT, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;;;;;
EUROPHARMA, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;73,50;0,00;;;;
Lekáreň HEYDUKOVA s.r.o;Košice - Západ;Okres Košice II;Košický kraj;2 435,00;0,00;;2 435,00;;
Lekáreň Šustekova s.r.o;Košice - Sever;Okres Košice I;Košický kraj;0,00;0,00;;1 130,00;;
MIRAKL PHARMA, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;16,50;0,00;;;;
Lekáreň TEHELNÁ, s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;152,40;0,00;;;;
Lekáreň Ametyst, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;26,78;0,00;;;;
Trnávka, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;;;;;
Lekáreň OPTIMA KE, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;9,60;;;;;
Lekáreň PRED NEMOCNICOU MT s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;;;;;
Lekáreň Poprad, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
EURO FARMÁCIA s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;3 107,20;0,00;;3 100,00;;
Lekáreň CENTRUM GA, s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Lekáreň CENTRO, s. r. o.;Košice - Juh;Okres Košice IV;Košický kraj;36,48;0,00;;;;
Lekáreň Hornád SN, s.r.o.;Košice - Sever;Okres Košice I;Košický kraj;450,00;0,00;;450,00;;
Medirea s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;22,00;;;;;
smile, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;;;0,00;;0,00;
Markont-n,s.r.o.;Rožňava;Okres Rožňava;Košický kraj;584,60;;;;;
EVISON s.r.o.;Ruskov;Okres Košice - okolie;Košický kraj;0,00;0,00;;;;
PPK, s.r.o.;Turňa nad Bodvou;Okres Košice - okolie;Košický kraj;0,00;0,00;;;;
Novozit, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;35,00;;;;;
Lekáreň Danubia s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;8,10;0,00;;;;
Drugcomfort s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
TILIA-MI,s.r.o.;Michalovce;Okres Michalovce;Košický kraj;0,00;0,00;;2,00;;2,00
Lekáreň na poliklinike s.r.o.;Košice - Staré Mesto;Okres Košice I;Košický kraj;0,00;0,00;;;;
CASSIA s.r.o.;Košice - Sídlisko KVP;Okres Košice II;Košický kraj;0,00;0,00;;;;
Pharm-bes s.r.o.;Trebišov;Okres Trebišov;Košický kraj;0,00;0,00;;;;
PHARMAKRAFT s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
BRL Slovakia s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Pharmafit s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
MEDIC TRADE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Medisell s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;15,00;;;;;
Medicomfort s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;500,00;0,00;;500,00;;
DRUGPLANT s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;13,20;0,00;;;;
STARLINE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;13,20;0,00;;;;
REDMOON, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;18,00;0,00;;;;
PHARMASHOP s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;18,00;0,00;;;;
CASTILION S.R.O.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Prameň Zdrav spol. s r.o.;Valaliky;Okres Košice - okolie;Košický kraj;0,00;0,00;;;;
Lekáreň BS, s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;112,80;;;;;
Lekáreň V KAUFLANDE BB s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;;;;;
Lekáreň SNINA, s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
Lekáreň NZ, s.r.o;Košice - Západ;Okres Košice II;Košický kraj;457,40;0,00;;440,00;;
Železničná Lekáreň s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;241,50;0,00;;241,50;;
Cassoviapharm s r.o.;Košice - Západ;Okres Košice II;Košický kraj;794,00;;;;;
LEKÁREŇ - NÁRODNÁ ŽILINA s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
LEKÁREŇ - HLAVNÁ ŠAĽA,  s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
Lekáreň PHARMACY s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
VERBENA KOSICE s.r.o.;Košice - Staré Mesto;Okres Košice I;Košický kraj;0,00;0,00;;;;
HEALTHSTORE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;55,00;;;;;
BLUE-CROSS;Košice - Juh;Okres Košice IV;Košický kraj;0,00;;;;;
MEDICATE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;0,00;0,00;;;;
DRUGMARKET s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;24,00;;;;;
MED - STORE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
MEDICABLE s.r.o.;Košice - Juh;Okres Košice IV;Košický kraj;280,00;;;;;
IMPROVE s.r.o.;Košice - Západ;Okres Košice II;Košický kraj;0,00;0,00;;;;
